,tweet_id,retweet_count,favorite_count
2138,669564461267722241,128,395
2139,669393256313184256,79,376
2140,669375718304980992,753,1366
2141,669371483794317312,187,506
2142,669367896104181761,164,473
2143,669363888236994561,237,640
2144,669359674819481600,127,375
2145,669354382627049472,1308,2769
2146,669353438988365824,266,660
2147,669351434509529089,194,450
2148,669328503091937280,430,1031
2149,669327207240699904,119,586
2150,669324657376567296,214,504
2151,669216679721873412,414,1210
2152,669214165781868544,175,449
2153,669203728096960512,493,1025
2154,669037058363662336,322,675
2155,669015743032369152,384,757
2156,669006782128353280,259,590
2157,669000397445533696,6570,21277
2158,668994913074286592,240,451
2159,668992363537309700,357,757
2160,668989615043424256,338,696
2161,668988183816871936,488,917
2162,668986018524233728,173,565
2163,668981893510119424,317,550
2164,668979806671884288,357,808
2165,668975677807423489,602,1329
2166,668967877119254528,25,150
2167,668960084974809088,245,721
2168,668955713004314625,74,286
2169,668932921458302977,59,273
2170,668902994700836864,103,324
2171,668892474547511297,155,403
2172,668872652652679168,308,540
2173,668852170888998912,171,463
2174,668826086256599040,141,444
2175,668815180734689280,279,583
2176,668779399630725120,382,716
2177,668655139528511488,223,542
2178,668645506898350081,554,915
2179,668643542311546881,543,899
2180,668641109086707712,555,1098
2181,668636665813057536,502,1062
2182,668633411083464705,1698,2877
2183,668631377374486528,326,734
2184,668627278264475648,118,325
2185,668625577880875008,138,395
2186,668623201287675904,800,1470
2187,668620235289837568,44,207
2188,668614819948453888,322,622
2189,668587383441514497,1111,1697
2190,668567822092664832,57,250
2191,668544745690562560,233,532
2192,668542336805281792,222,471
2193,668537837512433665,77,257
2194,668528771708952576,232,472
2195,668507509523615744,111,333
2196,668496999348633600,135,420
2197,668484198282485761,241,435
2198,668480044826800133,153,471
2199,668466899341221888,528,902
2200,668297328638447616,306,632
2201,668291999406125056,32,250
2202,668286279830867968,142,517
2203,668274247790391296,235,842
2204,668268907921326080,243,565
2205,668256321989451776,636,1329
2206,668248472370458624,501,1013
2207,668237644992782336,2925,6328
2208,668226093875376128,106,305
2209,668221241640230912,203,518
2210,668204964695683073,200,560
2211,668190681446379520,200,665
2212,668171859951755264,201,503
2213,668154635664932864,325,506
2214,668142349051129856,294,576
2215,668113020489474048,251,677
2216,667937095915278337,816,1294
2217,667924896115245057,113,307
2218,667915453470232577,58,215
2219,667911425562669056,311,498
2220,667902449697558528,385,861
2221,667886921285246976,1119,1920
2222,667885044254572545,500,832
2223,667878741721415682,122,400
2224,667873844930215936,417,640
2225,667866724293877760,1058,3046
2226,667861340749471744,78,245
2227,667832474953625600,63,293
2228,667806454573760512,510,1070
2229,667801013445750784,97,334
2230,667793409583771648,336,710
2231,667782464991965184,249,418
2232,667773195014021121,58,239
2233,667766675769573376,222,448
2234,667728196545200128,152,380
2235,667724302356258817,326,491
2236,667550904950915073,35,0
2237,667550882905632768,33,0
2238,667549055577362432,2332,5871
2239,667546741521195010,127,338
2240,667544320556335104,534,878
2241,667538891197542400,67,208
2242,667534815156183040,551,830
2243,667530908589760512,245,476
2244,667524857454854144,1132,1722
2245,667517642048163840,196,372
2246,667509364010450944,2169,6860
2247,667502640335572993,223,538
2248,667495797102141441,276,527
2249,667491009379606528,232,539
2250,667470559035432960,100,259
2251,667455448082227200,60,194
2252,667453023279554560,91,318
2253,667443425659232256,591,792
2254,667437278097252352,242,453
2255,667435689202614272,84,308
2256,667405339315146752,221,473
2257,667393430834667520,58,198
2258,667369227918143488,167,370
2259,667211855547486208,245,497
2260,667200525029539841,265,622
2261,667192066997374976,109,390
2262,667188689915760640,422,750
2263,667182792070062081,6299,14443
2264,667177989038297088,55,193
2265,667176164155375616,467,614
2266,667174963120574464,84,246
2267,667171260800061440,91,222
2268,667165590075940865,1157,2714
2269,667160273090932737,62,259
2270,667152164079423490,17377,48176
2271,667138269671505920,2244,4651
2272,667119796878725120,128,332
2273,667090893657276420,129,337
2274,667073648344346624,124,407
2275,667070482143944705,14,84
2276,667065535570550784,48,168
2277,667062181243039745,55,220
2278,667044094246576128,51,186
2279,667012601033924608,225,452
2280,666996132027977728,95,247
2281,666983947667116034,992,2566
2282,666837028449972224,559,826
2283,666835007768551424,80,217
2284,666826780179869698,97,256
2285,666817836334096384,253,522
2286,666804364988780544,94,243
2287,666786068205871104,488,765
2288,666781792255496192,198,389
2289,666776908487630848,175,351
2290,666739327293083650,66,238
2291,666701168228331520,219,433
2292,666691418707132416,47,189
2293,666649482315059201,628,1122
2294,666644823164719104,83,233
2295,666454714377183233,208,520
2296,666447344410484738,20,105
2297,666437273139982337,48,125
2298,666435652385423360,53,165
2299,666430724426358785,196,316
2300,666428276349472768,83,165
2301,666421158376562688,111,316
2302,666418789513326592,45,124
2303,666411507551481857,323,441
2304,666407126856765440,40,107
2305,666396247373291520,84,166
2306,666373753744588802,92,186
2307,666362758909284353,564,770
2308,666353288456101888,71,217
2309,666345417576210432,133,290
2310,666337882303524864,90,196
2311,666293911632134144,352,494
2312,666287406224695296,64,146
2313,666273097616637952,76,174
2314,666268910803644416,35,102
2315,666104133288665088,6480,14158
2316,666102155909144576,12,80
2317,666099513787052032,67,153
2318,666094000022159362,72,163
2319,666082916733198337,44,116
2320,666073100786774016,162,318
2321,666071193221509120,59,145
2322,666063827256086533,215,471
2323,666058600524156928,57,111
2324,666057090499244032,141,294
2325,666055525042405380,244,431
2326,666051853826850816,841,1209
2327,666050758794694657,59,132
2328,666049248165822465,40,107
2329,666044226329800704,139,296
2330,666033412701032449,44,125
2331,666029285002620928,47,129
2332,666020888022790149,507,2540
2333,825026590719483904,1400,6749
2334,816014286006976512,5841,0
2335,780476555013349377,128,0
2336,702932127499816960,774,2727
2337,693280720173801472,1327,3540
2338,693095443459342336,496,1976
2339,689661964914655233,998,3374
2340,689280876073582592,771,2104
2341,685667379192414208,616,2471
